#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,83.324651,3.418799,0.000000,28.280348,11.315795,0.764548,111.469538
0.000000,0.000000,83.161838,3.532594,0.000000,10.707727,13.941676,0.964231,109.656723
0.000000,0.000000,77.482191,3.856998,0.000000,8.509304,14.681317,0.958731,104.557774
0.000000,0.000000,76.540479,4.104014,0.000000,21.676265,26.463385,0.788103,104.714421
0.000000,0.000000,70.075321,3.805702,0.000000,28.854509,13.301868,0.102591,97.069738
0.000000,0.000000,80.111166,3.864424,0.000000,14.567559,20.671628,0.803085,108.564326
0.000000,0.000000,85.930700,4.132496,0.000000,22.493961,25.971056,0.092685,112.791840
0.000000,0.000000,80.965694,3.987015,0.000000,22.123187,31.780147,0.103851,108.224608
0.000000,0.000000,70.675000,4.300995,0.000000,18.031709,24.537237,0.108147,100.359056
0.000000,0.000000,84.170533,6.641305,0.000000,26.594531,24.085483,0.092037,94.087470
0.000000,0.000000,74.392945,3.906072,0.000000,13.794011,20.637795,0.156461,121.217608
0.000000,0.000000,73.322696,3.490484,0.000000,16.916517,27.881537,0.092333,104.206314
0.000000,0.000000,77.102325,4.448882,0.000000,10.724819,19.936283,0.150554,107.526263
0.000000,0.000000,96.040636,3.666371,0.000000,8.775209,11.407072,0.108221,150.480520
0.000000,0.000000,91.687236,5.890238,0.000000,4.421604,9.452350,0.104351,143.216556
0.000000,0.000000,117.354999,11.480719,0.000000,7.099522,9.835754,0.126388,167.158707
0.000000,0.000000,83.711112,8.129104,0.000000,22.480851,0.057351,0.110128,143.783199
0.000000,0.000000,86.969486,4.108977,0.000000,21.699266,0.044537,0.096148,147.551439
0.000000,0.000000,86.310937,4.477418,0.000000,22.125132,0.041648,0.104203,136.607492
0.000000,0.000000,91.874604,5.082709,0.000000,21.423287,0.049463,0.083407,150.779221
0.000000,0.000000,83.904072,4.205273,0.000000,22.049411,0.042018,0.808381,126.151263
0.000000,0.000000,103.238936,3.440318,0.000000,22.952845,0.049296,0.068684,154.601387
0.000000,0.000000,101.271992,3.859702,0.000000,23.605339,0.042630,0.068647,138.850118
0.000000,0.000000,100.874923,2.918379,0.000000,22.915735,0.037889,0.107259,126.838738
0.000000,0.000000,99.664860,3.846628,0.000000,21.382028,0.049944,0.118888,120.602855
0.000000,0.000000,83.456892,4.859507,0.000000,22.489332,0.035703,0.061018,108.045906
0.000000,0.000000,74.896459,4.106126,0.000000,23.397304,0.044166,0.057277,104.639143
0.000000,0.000000,77.354453,4.077201,0.000000,20.400686,0.042222,0.114925,105.623098
0.000000,0.000000,79.552653,4.159218,0.000000,21.455324,0.049166,0.068500,108.067406
0.000000,0.000000,79.873168,3.714260,0.000000,22.478110,0.013000,0.115351,107.454561
0.000000,0.000000,82.637474,3.724963,0.000000,19.953876,0.015000,0.089851,110.520715
0.000000,0.000000,81.174766,8.218696,0.000000,21.760784,0.038389,0.097758,116.959095
0.000000,0.000000,69.244533,4.031812,0.000000,21.472824,0.016333,0.072425,100.305169
0.000000,0.000000,76.017855,3.946405,0.000000,21.577581,0.016463,0.069666,105.376044
0.000000,0.000000,71.794137,4.355512,0.000000,20.414130,0.015462,0.063166,100.335706
